timestamp,open,high,low,close
8/22/2019,1.1097,1.1113,1.1062,1.1084
8/21/2019,1.1099,1.1107,1.1079,1.1091
8/20/2019,1.1082,1.1107,1.1064,1.1099
8/19/2019,1.1095,1.1114,1.1075,1.1081
8/18/2019,1.1095,1.1101,1.1087,1.1095
8/16/2019,1.111,1.1112,1.1065,1.109
8/15/2019,1.1144,1.1159,1.109,1.111
8/14/2019,1.1175,1.1191,1.1129,1.1144
8/13/2019,1.1214,1.1229,1.1168,1.1174
8/12/2019,1.1202,1.1231,1.1161,1.1214
8/11/2019,1.12,1.1204,1.1194,1.1202
8/9/2019,1.1185,1.1223,1.1182,1.1197
8/8/2019,1.1205,1.1233,1.1176,1.1185
8/7/2019,1.1202,1.1242,1.1178,1.1205
8/6/2019,1.1225,1.125,1.1166,1.1201
8/5/2019,1.1106,1.1226,1.1104,1.1224
8/4/2019,1.111,1.1114,1.1101,1.1106
8/2/2019,1.1078,1.1116,1.1068,1.1108
8/1/2019,1.1079,1.1096,1.1025,1.1078
7/31/2019,1.1158,1.1162,1.1059,1.1079
7/30/2019,1.1147,1.1161,1.1131,1.1158
7/29/2019,1.1132,1.1151,1.1112,1.1146
7/28/2019,1.1126,1.1132,1.1121,1.1132
7/26/2019,1.1146,1.1151,1.1111,1.1128
7/25/2019,1.1142,1.1188,1.11,1.1146
7/24/2019,1.1152,1.1156,1.1126,1.114
7/23/2019,1.1208,1.1209,1.1144,1.1152
7/22/2019,1.1218,1.1225,1.1205,1.1208
7/21/2019,1.1215,1.122,1.1212,1.1218
7/19/2019,1.1249,1.1268,1.1202,1.1221
7/18/2019,1.1227,1.1282,1.1204,1.1249
7/17/2019,1.121,1.1234,1.1198,1.1227
7/16/2019,1.1261,1.1263,1.12,1.1211
7/15/2019,1.1272,1.1284,1.1252,1.1261
7/14/2019,1.1267,1.1275,1.1262,1.1272
7/12/2019,1.1256,1.1275,1.1237,1.127
7/11/2019,1.1259,1.1286,1.1244,1.1256
7/10/2019,1.1206,1.1264,1.12,1.1259
7/9/2019,1.1216,1.1219,1.1192,1.1206
7/8/2019,1.1229,1.1234,1.1205,1.1216
7/7/2019,1.1222,1.1229,1.1216,1.1229
7/5/2019,1.1286,1.1287,1.1206,1.1224
7/4/2019,1.1287,1.1295,1.1271,1.1286
7/3/2019,1.129,1.1312,1.1267,1.1287
7/2/2019,1.1286,1.1322,1.1273,1.129
7/1/2019,1.1368,1.1371,1.1279,1.1286
6/30/2019,1.137,1.137,1.1355,1.1368
6/28/2019,1.1368,1.1394,1.1349,1.1373
6/27/2019,1.1373,1.1382,1.1346,1.1368
6/26/2019,1.1366,1.1391,1.1346,1.1373
6/25/2019,1.1397,1.1412,1.1343,1.1365
6/24/2019,1.1375,1.1404,1.1369,1.1397
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
